season,mode,duration,duration.min,start.date,start.time,end.date,end.time,notes,Total Talk Time
Spain,Hangouts,0:07:00,7,2/20/2015,20:01:00,2/20/2015,20:08:00,,
Spain,Hangouts,2:40:00,160,2/22/2015,16:20:00,2/22/2015,19:00:00,,
Spain,Skype,4:59:00,299,2/28/2015,16:37:00,2/28/2015,21:36:00,,
Spain,Skype,0:41:00,41,3/2/2015,15:21:00,3/2/2015,16:02:00,,
Spain,Skype,0:53:00,53,3/2/2015,18:50:00,3/2/2015,19:43:00,,
Spain,Skype,0:34:00,34,3/2/2015,19:44:00,3/2/2015,20:18:00,,
Spain,Skype,0:48:00,48,3/4/2015,17:26:00,3/4/2015,18:14:00,,
Spain,Skype,4:29:00,269,3/4/2015,18:15:00,3/4/2015,22:44:00,,
Spain,Skype,3:42:00,222,3/5/2015,7:43:00,3/5/2015,11:25:00,,
Spain,Skype,0:19:00,19,3/5/2015,11:25:00,3/5/2015,11:44:00,,
Spain,Skype,1:51:00,111,3/8/2015,14:02:00,3/8/2015,15:53:00,,
Spain,Skype,1:31:00,91,3/8/2015,15:55:00,3/8/2015,17:26:00,,
Spain,Skype,2:15:00,135,3/8/2015,17:28:00,3/8/2015,19:43:00,,
Spain,Hangouts,1:23:00,83,3/13/2015,9:52:00,3/13/2015,11:15:00,,
Spain,Skype,3:48:00,228,3/14/2015,17:50:00,3/14/2015,21:38:00,,
Spain,Skype,0:54:00,54,3/15/2015,9:59:00,3/15/2015,10:53:00,wwn,
Spain,Skype,3:44:29,224,3/15/2015,10:57:31,3/15/2015,14:42:00,wwn,
Spain,Hangouts,2:28:00,148,3/18/2015,21:44:00,3/19/2015,0:12:00,,
Spain,Skype,1:58:00,118,3/22/2015,16:55:00,3/22/2015,18:53:00,,
Spain,Skype,2:52:00,172,3/27/2015,17:51:00,3/27/2015,20:43:00,,
Spain,Skype,4:55:00,295,3/29/2015,14:12:00,3/29/2015,19:07:00,,
Spain,Skype,1:46:00,106,4/3/2015,17:38:00,4/3/2015,19:24:00,,
Spain,Skype,0:27:00,27,4/3/2015,20:03:00,4/3/2015,20:30:00,,
Spain,Hangouts,1:14:00,74,4/5/2015,12:29:00,4/5/2015,13:43:00,,
Spain,Skype,2:47:04,167,4/5/2015,16:43:00,4/5/2015,19:30:00,,
Spain,Skype,3:16:54,196,4/17/2015,17:44:00,4/17/2015,21:01:00,,
Spain,Skype,0:53:09,53,4/18/2015,15:31:00,4/18/2015,16:25:00,,
Spain,Skype,0:18:29,18,4/18/2015,16:27:00,4/18/2015,16:45:00,,
Spain,Skype,2:11:11,131,4/18/2015,16:45:00,4/18/2015,18:56:00,,
Spain,Skype,4:19:25,259,4/26/2015,15:05:00,4/26/2015,19:25:00,,
Spain,Skype,0:36:13,36,5/2/2015,13:26:00,5/2/2015,14:02:00,,
Spain,Skype,3:05:28,185,5/2/2015,14:02:00,5/2/2015,17:08:00,wwn,
Spain,Skype,5:04:05,304,5/2/2015,17:08:00,5/2/2015,22:12:00,wwn,
Spain,Hangouts,0:48:00,48,5/7/2015,10:59:00,5/7/2015,11:47:00,,
Spain,Hangouts,0:53:42,53,5/8/2015,18:39:18,5/8/2015,19:33:00,,
Spain,Hangouts,1:35:40,95,5/10/2015,17:14:20,5/10/2015,18:50:00,,
Spain,Hangouts,0:54:00,54,5/11/2015,10:19:00,5/11/2015,11:13:00,,
